gap_type,student_id,workflow_id,department,days_elapsed,confidence,priority,leading_signal,reason,evidence
unowned_workflow_step,S0334,WF00242,Residential Life,49,High,High,handoff logged with no named owner,Handoff at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00379, interaction_type=handoff, status=pending"
uncoordinated_multi_department,S0334,"WF00242,WF00243,WF00244",Dean of Students + Financial Aid + Residential Life,49,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 3 different departments (Dean of Students, Financial Aid, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00381,SI00379,SI00382,SI00380"
uncoordinated_multi_department,S0446,"WF00305,WF00306",Dean of Students + Residential Life,49,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00491,SI00492,SI00490"
uncoordinated_multi_department,S0640,"WF00439,WF00440,WF00441",Academic Advising + Dean of Students,49,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00703,SI00702,SI00701,SI00700"
incomplete_or_overdue_action_plan,S0131,AP0047,Dean of Students,49,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0047, completion_status=incomplete, completion_percentage=26"
uncoordinated_multi_department,S0455,"WF00310,WF00312",Academic Advising + Residential Life,48,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00497,SI00499,SI00500,SI00496,SI00501"
uncoordinated_multi_department,S0498,"WF00327,WF00328,WF00329",Counseling + Dean of Students,48,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00531,SI00530,SI00529,SI00532,SI00533"
incomplete_or_overdue_action_plan,S0007,AP0004,Dean of Students,48,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0004, completion_status=completed, completion_percentage=58"
incomplete_or_overdue_action_plan,S0266,AP0099,Dean of Students,48,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0099, completion_status=incomplete, completion_percentage=16"
incomplete_or_overdue_action_plan,S0435,AP0156,Dean of Students,48,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0156, completion_status=partially_completed, completion_percentage=44"
incomplete_or_overdue_action_plan,S0693,AP0233,Financial Aid,48,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0233, completion_status=partially_completed, completion_percentage=80"
unowned_workflow_step,S0446,WF00305,Residential Life,47,High,High,check_in logged with no named owner,Check in at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00491, interaction_type=check_in, status=open"
uncoordinated_multi_department,S0020,"WF00014,WF00015,WF00016",Financial Aid + Residential Life,47,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Financial Aid, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00023,SI00024,SI00025"
uncoordinated_multi_department,S0081,"WF00059,WF00060",Academic Advising + Financial Aid,47,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00092,SI00091,SI00094,SI00093"
uncoordinated_multi_department,S0122,"WF00084,WF00085,WF00086",Counseling + Dean of Students,47,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00137,SI00136,SI00135,SI00138"
uncoordinated_multi_department,S0671,"WF00456,WF00457,WF00458",Dean of Students + Financial Aid,47,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00726,SI00724,SI00727,SI00723,SI00728"
incomplete_or_overdue_action_plan,S0238,AP0088,Financial Aid,47,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0088, completion_status=incomplete, completion_percentage=43"
incomplete_or_overdue_action_plan,S0640,AP0212,Residential Life,47,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0212, completion_status=incomplete, completion_percentage=59"
unowned_workflow_step,S0455,WF00312,Residential Life,46,High,High,check_in logged with no named owner,Check in at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00500, interaction_type=check_in, status=open"
uncoordinated_multi_department,S0539,"WF00363,WF00364",Academic Advising + Residential Life,46,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00590,SI00591,SI00592"
incomplete_or_overdue_action_plan,S0108,AP0038,Dean of Students,46,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0038, completion_status=incomplete, completion_percentage=4"
incomplete_or_overdue_action_plan,S0143,AP0051,Dean of Students,46,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0051, completion_status=incomplete, completion_percentage=0"
incomplete_or_overdue_action_plan,S0160,AP0057,Financial Aid,46,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0057, completion_status=incomplete, completion_percentage=0"
