student_id,departments_involved,leading_issue,days_elapsed,confidence,priority,reason
S0131,Dean of Students,incomplete_or_overdue_action_plan,49,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
S0334,Dean of Students + Financial Aid + Residential Life,unowned_workflow_step,49,High,High,Handoff at Residential Life has no assigned_owner -- nobody on record is accountable for it.
S0446,Dean of Students + Residential Life,uncoordinated_multi_department,49,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Residential Life) with no indication either department is aware of the other."
S0640,Academic Advising + Dean of Students + Residential Life,uncoordinated_multi_department,49,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Dean of Students) with no indication either department is aware of the other."
S0007,Dean of Students,incomplete_or_overdue_action_plan,48,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
S0266,Dean of Students + Financial Aid,incomplete_or_overdue_action_plan,48,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
S0435,Counseling + Dean of Students + Financial Aid,incomplete_or_overdue_action_plan,48,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
S0455,Academic Advising + Residential Life,uncoordinated_multi_department,48,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Residential Life) with no indication either department is aware of the other."
S0498,Counseling + Dean of Students,uncoordinated_multi_department,48,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Dean of Students) with no indication either department is aware of the other."
S0693,Financial Aid,incomplete_or_overdue_action_plan,48,High,High,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.
S0020,Counseling + Dean of Students + Financial Aid + Residential Life + Unknown,uncoordinated_multi_department,47,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Financial Aid, Residential Life) with no indication either department is aware of the other."
S0081,Academic Advising + Financial Aid,uncoordinated_multi_department,47,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other."
S0122,Counseling + Dean of Students + Residential Life,uncoordinated_multi_department,47,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Dean of Students) with no indication either department is aware of the other."
S0238,Counseling + Dean of Students + Financial Aid,incomplete_or_overdue_action_plan,47,High,High,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.
S0671,Dean of Students + Financial Aid,uncoordinated_multi_department,47,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Financial Aid) with no indication either department is aware of the other."
S0108,Dean of Students + Financial Aid,incomplete_or_overdue_action_plan,46,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
S0143,Counseling + Dean of Students + Financial Aid,incomplete_or_overdue_action_plan,46,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
S0160,Academic Advising + Financial Aid,incomplete_or_overdue_action_plan,46,High,High,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.
S0411,Counseling + Financial Aid,incomplete_or_overdue_action_plan,46,High,High,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.
S0539,Academic Advising + Residential Life,uncoordinated_multi_department,46,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Residential Life) with no indication either department is aware of the other."
S0297,Academic Advising + Financial Aid,uncoordinated_multi_department,45,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other."
S0322,Counseling + Dean of Students + Financial Aid,uncoordinated_multi_department,45,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Dean of Students) with no indication either department is aware of the other."
S0015,Dean of Students,incomplete_or_overdue_action_plan,42,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
S0027,Academic Advising + Financial Aid + Residential Life,incomplete_or_overdue_action_plan,42,High,High,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.
S0217,Counseling + Residential Life,incomplete_or_overdue_action_plan,42,High,High,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.
S0239,Counseling + Financial Aid,uncoordinated_multi_department,42,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Financial Aid) with no indication either department is aware of the other."
S0246,Academic Advising + Counseling + Residential Life,uncoordinated_multi_department,42,High,High,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Counseling) with no indication either department is aware of the other."
S0602,Dean of Students,incomplete_or_overdue_action_plan,42,High,High,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.
